HQ;AUT_COMM
Alicante;Comunidad Valenciana
Barcelona;Cataluña
Elche;Comunidad Valenciana
Albacete;Castilla - La Mancha
Almería;Andalucía
Ávila;Castilla y León
Badajoz;Extremadura
Mérida;Extremadura
Bilbao;País Vasco
Palma de Mallorca;Islas Baleares
Burgos;Castilla y León
Coruña (A);Galicia
Santiago de Compostela;Galícia
Cádiz;Andalucía
Cáceres;Extremadura
Córdoba;Andalucía
Ciudad Real;Castilla-La Mancha
Castellón de la Plana;Comunidad Valenciana
Cuenca;Castilla-La Mancha
Girona;Cataluña
Granada;Andalucía
Guadalajara;Castilla-La Mancha
Huelva;Andalucía
Huesca;Aragón
Jaén;Andalucía
Lleida;Cataluña
León;Castilla y León
Logroño;La Rioja
Lugo;Galicia
Madrid;Comunidad de Madrid
Málaga;Andalucía
Melilla;Melilla
Cartagena;Región de Murcia
Murcia;Región de Murcia
Pamplona;Navarra
Gijón;Asturias
Oviedo;Asturias
Ourense;Galicia
Palencia;Castilla y León
Pontevedra;Galicia
Vigo;Galicia
Santander;Cantabria
Salamanca;Castilla y León
Sevilla;Andalucía
Segovia;Castilla y León
Soria;Castilla y León
San Sebastián;País Vasco
Tarragona;Cataluña
Teruel;Aragón
Santa Cruz de Tenerife;Canarias
Toledo;Castilla-La Mancha
Valencia;Comunidad Valenciana
Valladolid;Castilla y León
Vitoria;País Vasco
Zaragoza;Aragón
Zamora;Castilla y León